"PreyTaxa","DESC-0282__2","DESC-0282_22","DESC_0190_15","DESC_0190_16","DESC_0190_27","DESC_0231_11","DESC_0231_13","DESC_0231_14a","DESC_0231_14b","DESC_0282_1","DESC_0282_12","DESC_0282_15","DESC_0282_16","DESC_0282_18","DESC_0282_21","DESC_0282_23","DESC_0282_3","DESC_0282_30","DESC_0282_32","DESC_0282_33","DESC_0282_35","DESC_0282_39","DESC_0282_41","DESC_0282_42","DESC_0459_9","DESC0282_19","KLAM_0001_07","LINN_0455_15"
"Callospermophilus lateralis",22502,0,0,0,0,0,0,0,0,6302,0,0,0,0,0,40946,0,0,0,174464,0,1804,0,0,14150,0,0,87716
"Cervus canadensis",22502,0,31588,0,0,0,0,0,0,0,0,0,0,0,222814,0,0,0,0,0,0,0,38754,0,0,0,0,0
"Chordeiles minor",0,0,0,0,0,0,52024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendragapus fuliginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97411,0,0
"Junco hyemalis",0,0,0,0,0,0,0,0,57432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6097,0,0,0,0,0,0,0
"Lepus americanus",0,0,0,0,0,0,0,0,0,0,130024,0,0,0,0,0,0,106597,0,0,0,0,0,64714,0,0,0,0
"Marmota flaviventris",0,0,0,0,0,0,0,74336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97411,0,0
"Myodes californicus",0,0,0,0,0,0,0,74336,0,0,0,0,0,3604,0,40946,0,0,0,0,6097,0,0,0,14150,0,0,0
"Neotoma cinerea",0,0,0,6072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odocoileus sp.",0,0,0,0,123666,7538,0,0,0,0,0,0,0,0,222814,0,0,0,0,0,0,0,0,64714,0,0,0,0
"Peromyscus maniculatus",0,0,0,0,0,7538,0,0,57432,6302,130024,98128,0,0,222814,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phenacomys intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40946,18472,0,0,0,0,0,0,0,0,0,0,0
"Salvelinus fontinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138748,0
"Scapanus sp.",0,0,0,0,0,0,0,0,0,0,0,98128,0,0,0,0,0,0,0,0,6097,0,38754,0,14150,0,0,0
"Sorex sp.",22502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64714,14150,0,0,0
"Tamias sp",0,0,0,0,0,0,0,0,0,0,0,0,2642,0,0,0,0,0,32774,0,0,1804,0,0,0,0,0,0
"Thomomys talpoides",22502,11057,31588,6072,0,7538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo sp.",0,0,0,0,0,0,0,74336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
